thetao_nearest,thetao_idw,lat,lon
15.252925872802734,11.51110456973617,40.276863860510204,23.7085049604624
15.252925872802734,11.659390188363343,40.276863860510204,23.718504960462397
15.252925872802734,12.246943338330231,40.276863860510204,23.7285049604624
15.759298324584961,12.354295167451824,40.276863860510204,23.7385049604624
15.759298324584961,12.45793851090003,40.276863860510204,23.748504960462398
15.759298324584961,12.54417074048758,40.276863860510204,23.7585049604624
15.759298324584961,12.603264487450785,40.276863860510204,23.768504960462398
15.893928527832031,12.674812204194177,40.276863860510204,23.7785049604624
15.893928527832031,12.751503678476634,40.276863860510204,23.788504960462397
15.893928527832031,13.384684484894045,40.276863860510204,23.7985049604624
15.893928527832031,13.419870302750923,40.276863860510204,23.808504960462397
15.906527519226074,13.465065698108953,40.276863860510204,23.8185049604624
15.906527519226074,13.515784165627243,40.276863860510204,23.8285049604624
15.906527519226074,13.546133883787588,40.276863860510204,23.838504960462398
15.906527519226074,13.507569759124829,40.276863860510204,23.8485049604624
15.933303833007812,13.476325357717059,40.276863860510204,23.858504960462398
15.933303833007812,13.456649269171768,40.276863860510204,23.8685049604624
15.933303833007812,12.822581933680295,40.276863860510204,23.878504960462397
15.933303833007812,12.64625894948033,40.276863860510204,23.8885049604624
15.95158576965332,12.465455371342278,40.276863860510204,23.8985049604624
15.95158576965332,12.279870196269437,40.276863860510204,23.9085049604624
15.95158576965332,10.92575024502837,40.276863860510204,23.9185049604624
15.95158576965332,10.574659187463803,40.276863860510204,23.928504960462398
15.982697486877441,10.143168418817982,40.276863860510204,23.9385049604624
15.982697486877441,9.618187108559297,40.276863860510204,23.948504960462397
15.982697486877441,8.367365687730253,40.276863860510204,23.9585049604624
15.982697486877441,7.451746864245802,40.276863860510204,23.968504960462397
15.982697486877441,6.392711427017071,40.276863860510204,23.9785049604624
--,5.33592217242,40.2768638605,23.9885049605
--,4.41423538515,40.2768638605,23.9985049605
--,3.11734430637,40.2768638605,24.0085049605
--,2.55686638603,40.2768638605,24.0185049605
--,2.11883913145,40.2768638605,24.0285049605
--,1.77975332285,40.2768638605,24.0385049605
--,0.985768415343,40.2768638605,24.0485049605
--,0.831132933384,40.2768638605,24.0585049605
--,0.709082925273,40.2768638605,24.0685049605
--,0.612082641944,40.2768638605,24.0785049605
--,--,40.2768638605,24.0885049605
--,--,40.2768638605,24.0985049605
--,--,40.2768638605,24.1085049605
--,--,40.2768638605,24.1185049605
--,0.592351976009,40.2768638605,24.1285049605
--,0.649105291734,40.2768638605,24.1385049605
--,0.709762897615,40.2768638605,24.1485049605
--,0.771431052643,40.2768638605,24.1585049605
--,1.99086536781,40.2768638605,24.1685049605
--,2.18339732347,40.2768638605,24.1785049605
--,2.39595471526,40.2768638605,24.1885049605
--,2.62453098727,40.2768638605,24.1985049605
--,3.45883116532,40.2768638605,24.2085049605
--,4.4201850437,40.2768638605,24.2185049605
--,4.89300387642,40.2768638605,24.2285049605
--,5.45103898684,40.2768638605,24.2385049605
